entity_count,operation,sample,calls,elapsed_ticks,microseconds_per_call,managed_bytes,managed_bytes_per_call
10000,Find.middle,2,8,51400,642.5,0,0
10000,Find.middle,3,8,49058,613.225,0,0
10000,Find.middle,4,8,51384,642.3,0,0
10000,Find.middle,5,8,51237,640.4625,0,0
10000,Find.middle,6,8,51055,638.1875,0,0
10000,Find.middle,7,8,49127,614.0875,0,0
10000,Find.middle,8,8,51369,642.1125,0,0
10000,Find.middle,9,8,52049,650.6125,0,0
10000,Find.middle,10,8,51554,644.425,0,0
10000,Find.middle,11,8,50720,634,0,0
10000,Find.middle,12,8,49731,621.6375,0,0
10000,Find.middle,13,8,50175,627.1875,0,0
10000,Find.middle,14,8,51541,644.2625,0,0
10000,Find.middle,15,8,50005,625.0625,0,0
10000,Find.middle,16,8,53580,669.75,0,0
10000,Find.middle,17,8,52291,653.6375,0,0
10000,Find.middle,18,8,49127,614.0875,0,0
10000,Find.middle,19,8,49493,618.6625,0,0
10000,Find.middle,20,8,49120,614,0,0
10000,Find.middle,21,8,49104,613.8,0,0
10000,Find.middle,22,8,49853,623.1625,0,0
10000,Find.middle,23,8,52034,650.425,0,0
10000,Find.middle,24,8,49366,617.075,0,0
10000,Find.last,0,8,105991,1324.8875,0,0
10000,Find.last,1,8,107882,1348.525,0,0
10000,Find.last,2,8,107628,1345.35,0,0
10000,Find.last,3,8,105777,1322.2125,0,0
10000,Find.last,4,8,107576,1344.7,0,0
10000,Find.last,5,8,110053,1375.6625,0,0
10000,Find.last,6,8,103332,1291.65,0,0
10000,Find.last,7,8,104787,1309.8375,0,0
10000,Find.last,8,8,105472,1318.4,0,0
10000,Find.last,9,8,104585,1307.3125,0,0
10000,Find.last,10,8,103473,1293.4125,0,0
10000,Find.last,11,8,104741,1309.2625,0,0
10000,Find.last,12,8,102675,1283.4375,0,0
10000,Find.last,13,8,100534,1256.675,0,0
10000,Find.last,14,8,100330,1254.125,0,0
10000,Find.last,15,8,104779,1309.7375,0,0
10000,Find.last,16,8,102871,1285.8875,0,0
10000,Find.last,17,8,104226,1302.825,0,0
10000,Find.last,18,8,102452,1280.65,0,0
10000,Find.last,19,8,100053,1250.6625,0,0
10000,Find.last,20,8,102709,1283.8625,0,0
10000,Find.last,21,8,102520,1281.5,0,0
10000,Find.last,22,8,106263,1328.2875,0,0
10000,Find.last,23,8,104696,1308.7,0,0
